wavelength,n_amorphous,n_crystalline,k_amorphous,k_crystalline
302.19577,2.23141,2.50061,1.79892,1.95134
303.78632,2.25324,2.51832,1.80539,1.9738
305.37689,2.27483,2.53601,1.81013,1.99555
306.96759,2.29624,2.5537,1.81382,2.01643
308.55829,2.31753,2.57138,1.81705,2.03631
310.14911,2.33875,2.58907,1.82035,2.05508
311.73999,2.35996,2.6068,1.82416,2.07266
313.3309,2.38119,2.62459,1.82885,2.08897
314.92194,2.40249,2.64246,1.83451,2.10414
316.513,2.4239,2.66045,1.84098,2.11845
318.10413,2.44545,2.67857,1.84813,2.13215
319.69531,2.46718,2.69684,1.85582,2.14547
321.28656,2.48913,2.71528,1.86394,2.1586
322.8779,2.51132,2.73391,1.8724,2.17175
324.4693,2.53378,2.75274,1.8811,2.18505
326.06073,2.55652,2.7718,1.88993,2.1985
327.65222,2.57951,2.79109,1.89876,2.21181
329.24377,2.60264,2.81063,1.90744,2.22467
330.83539,2.62584,2.83043,1.91586,2.23684
332.42706,2.64905,2.85051,1.92393,2.2481
334.0188,2.67218,2.87087,1.93154,2.25824
335.6106,2.69519,2.89154,1.93861,2.26709
337.20245,2.71801,2.9125,1.94509,2.27451
338.79434,2.7406,2.93379,1.95093,2.28049
340.38629,2.7629,2.9554,1.95621,2.28526
341.9783,2.78487,2.97735,1.96098,2.28908
343.57037,2.80648,2.99963,1.9653,2.29218
345.16248,2.82769,3.02227,1.96921,2.29475
346.75464,2.84846,3.04526,1.97277,2.29697
348.34683,2.86876,3.0686,1.97603,2.299
349.93909,2.88857,3.09232,1.97901,2.30097
351.5314,2.90786,3.1164,1.98176,2.30302
353.12375,2.92662,3.14086,1.98429,2.30523
354.71616,2.94481,3.1657,1.9866,2.30766
356.30862,2.96248,3.19093,1.98866,2.31036
357.90109,2.97963,3.21653,1.99046,2.31337
359.49365,2.99631,3.24253,1.99199,2.31672
361.08624,3.01253,3.26888,1.99324,2.32048
362.67886,3.02832,3.29554,1.9942,2.32466
364.27152,3.04371,3.32244,1.99487,2.32931
365.86423,3.05871,3.34953,1.99523,2.33446
367.45697,3.07335,3.37677,1.99529,2.34012
369.04977,3.08763,3.4041,1.99504,2.34634
370.64261,3.10158,3.43148,1.99448,2.35306
372.23547,3.11521,3.45887,1.99359,2.36026
373.82837,3.12854,3.48622,1.99238,2.36789
375.42133,3.14158,3.51351,1.99084,2.37592
377.01431,3.15433,3.5407,1.98897,2.38431
378.60733,3.16681,3.56775,1.98676,2.39303
380.20038,3.17903,3.59463,1.98422,2.40204
381.79346,3.191,3.62132,1.98135,2.41133
383.38657,3.20273,3.64779,1.97815,2.42085
384.97971,3.21422,3.67402,1.97463,2.43058
386.57291,3.22549,3.69998,1.97077,2.44051
388.16611,3.23653,3.72565,1.96659,2.45058
389.75934,3.24735,3.75101,1.9621,2.46074
391.35263,3.25797,3.77605,1.95727,2.47093
392.94595,3.26838,3.80075,1.95213,2.4811
394.53928,3.2786,3.82508,1.94667,2.4912
396.13263,3.28863,3.84904,1.94089,2.50118
397.72601,3.29847,3.87262,1.93478,2.51102
399.31943,3.30814,3.8958,1.92835,2.52068
400.91287,3.31764,3.91857,1.92161,2.53012
402.50632,3.32698,3.94092,1.91454,2.53933
404.09979,3.33616,3.96284,1.90715,2.54828
405.6933,3.34519,3.98433,1.89944,2.55695
407.28684,3.35407,4.00537,1.8914,2.56533
408.8804,3.36282,4.02596,1.88305,2.57341
410.47397,3.37143,4.0461,1.87441,2.58114
412.06757,3.37992,4.06577,1.86549,2.58848
413.66119,3.38828,4.08498,1.85633,2.5954
415.25479,3.39653,4.10372,1.84695,2.60186
416.84845,3.40466,4.12198,1.83737,2.60782
418.44208,3.41269,4.13977,1.82762,2.61325
420.0358,3.42063,4.15708,1.8177,2.61813
421.62949,3.42846,4.17391,1.80765,2.62242
423.22321,3.43621,4.19026,1.79748,2.62611
424.81689,3.44387,4.20613,1.7872,2.62916
426.41064,3.45144,4.22153,1.77683,2.63155
428.00439,3.45895,4.23648,1.76639,2.63327
429.59814,3.46638,4.25098,1.75589,2.63429
431.19196,3.47373,4.26506,1.74534,2.6346
432.78571,3.48101,4.27873,1.73475,2.63417
434.37949,3.4882,4.29199,1.72413,2.63302
435.9733,3.49531,4.30487,1.71346,2.6312
437.56708,3.50232,4.31737,1.70272,2.62873
439.16095,3.50923,4.32949,1.69191,2.62567
440.75473,3.51604,4.34127,1.68101,2.62206
442.34854,3.52275,4.35269,1.67001,2.61793
443.94238,3.52934,4.36376,1.6589,2.61331
