gap (m),gap (nm),kappa_prime (1/m)
1e-07,100.0,209651.3762232379
1.032258064516129e-07,103.2258064516129,203403.2764698244
1.064516129032258e-07,106.45161290322581,197681.018578752
1.096774193548387e-07,109.6774193548387,192114.67327273914
1.1290322580645161e-07,112.90322580645162,186455.47332919983
1.1612903225806451e-07,116.12903225806451,181309.3709683303
1.1935483870967742e-07,119.35483870967742,176303.1257328131
1.225806451612903e-07,122.5806451612903,171247.41804868262
1.2580645161290322e-07,125.80645161290322,166506.83772531594
1.2903225806451611e-07,129.0322580645161,162242.54943374035
1.3225806451612903e-07,132.25806451612902,157694.9529050833
1.3548387096774192e-07,135.48387096774192,153292.5069202285
1.3870967741935484e-07,138.70967741935485,149273.587433196
1.4193548387096773e-07,141.93548387096772,145169.82903632292
1.4516129032258064e-07,145.16129032258064,141459.51776075756
1.4838709677419353e-07,148.38709677419354,137646.52828561462
1.5161290322580645e-07,151.61290322580646,134019.94270514624
1.5483870967741934e-07,154.83870967741933,130436.8648313366
1.5806451612903226e-07,158.06451612903226,127064.6082555324
1.6129032258064515e-07,161.29032258064515,123754.50356852733
1.6451612903225807e-07,164.51612903225808,120427.80183720237
1.6774193548387096e-07,167.74193548387095,117389.23887707699
1.7096774193548385e-07,170.96774193548384,114275.07681730844
1.7419354838709676e-07,174.19354838709677,111405.7246563912
1.7741935483870968e-07,177.41935483870967,108438.94905522678
1.8064516129032257e-07,180.64516129032256,105689.2523815848
1.8387096774193546e-07,183.87096774193546,102937.51103050976
1.8709677419354838e-07,187.09677419354838,100414.7499054644
1.903225806451613e-07,190.32258064516128,97875.0616898395
1.9354838709677418e-07,193.54838709677418,95277.42191777824
1.9677419354838707e-07,196.77419354838707,92882.27327938181
2e-07,200.0,90581.45102138983
2.032258064516129e-07,203.2258064516129,88231.52829871257
2.064516129032258e-07,206.4516129032258,86030.20730536584
2.096774193548387e-07,209.6774193548387,83958.92523839917
2.129032258064516e-07,212.90322580645162,81796.4628600578
2.1612903225806452e-07,216.1290322580645,79716.13419964103
2.193548387096774e-07,219.3548387096774,77793.30265872367
2.225806451612903e-07,222.5806451612903,75738.76417430746
2.2580645161290322e-07,225.80645161290323,73824.4258861043
2.290322580645161e-07,229.0322580645161,72104.29554059257
2.3225806451612903e-07,232.25806451612902,70285.1225187944
2.3548387096774192e-07,235.48387096774192,68499.69115079021
2.3870967741935483e-07,238.70967741935485,66781.09832232574
2.419354838709677e-07,241.9354838709677,65108.13675369858
2.451612903225806e-07,245.1612903225806,63529.42466051105
2.4838709677419353e-07,248.38709677419354,61964.01588991869
2.5161290322580645e-07,251.61290322580643,60383.49568230034
2.5483870967741936e-07,254.83870967741936,58892.80059779963
2.580645161290323e-07,258.06451612903226,57474.63060712435
2.6129032258064514e-07,261.2903225806451,56013.51436339565
2.6451612903225806e-07,264.51612903225805,54608.48169495607
2.677419354838709e-07,267.7419354838709,53320.84849608232
2.7096774193548384e-07,270.96774193548384,51997.722128186615
2.7419354838709676e-07,274.19354838709677,50667.80518366363
2.774193548387097e-07,277.4193548387097,49396.392537565145
2.806451612903226e-07,280.6451612903226,48203.34758732207
2.838709677419355e-07,283.8709677419355,47045.07362490583
2.8709677419354837e-07,287.09677419354836,45844.5130010102
2.903225806451613e-07,290.3225806451613,44736.316455603774
2.9354838709677415e-07,293.54838709677415,43607.11361776144
2.9677419354838707e-07,296.7741935483871,42538.04785234597
3e-07,300.0,41509.46114777764
3.032258064516129e-07,303.2258064516129,40478.28378839435
3.064516129032258e-07,306.4516129032258,39489.782918081655
3.096774193548387e-07,309.67741935483866,38557.241428141926
3.129032258064516e-07,312.9032258064516,37578.67533899326
3.1612903225806446e-07,316.12903225806446,36664.45740086418
3.193548387096774e-07,319.3548387096774,35794.617416851586
3.225806451612903e-07,322.5806451612903,34855.89075222291
3.258064516129032e-07,325.80645161290323,34045.127234949665
3.2903225806451613e-07,329.03225806451616,33233.47861233544
3.3225806451612905e-07,332.258064516129,32408.573443186113
3.354838709677419e-07,335.4838709677419,31584.06381665399
3.3870967741935483e-07,338.7096774193548,30823.135123203057
3.4193548387096775e-07,341.93548387096774,30094.13564811789
3.451612903225806e-07,345.1612903225806,29333.3686700049
3.483870967741935e-07,348.38709677419354,28622.906695494057
3.5161290322580644e-07,351.61290322580646,27917.909664887702
3.5483870967741936e-07,354.83870967741933,27237.467789551003
3.580645161290322e-07,358.0645161290322,26582.057640980383
3.6129032258064514e-07,361.2903225806451,25928.523175373695
3.6451612903225806e-07,364.51612903225805,25285.183663634627
3.6774193548387097e-07,367.741935483871,24688.76083153621
3.7096774193548384e-07,370.96774193548384,24082.85032081155
3.7419354838709675e-07,374.19354838709677,23485.793778092753
3.7741935483870967e-07,377.4193548387097,22901.651820142844
3.806451612903226e-07,380.64516129032256,22370.276397396912
3.8387096774193545e-07,383.87096774193543,21816.398539523172
3.8709677419354837e-07,387.09677419354836,21275.495947137522
3.903225806451613e-07,390.3225806451613,20758.103682139656
3.935483870967742e-07,393.5483870967742,20238.04587985948
3.9677419354838707e-07,396.7741935483871,19744.970570990212
4e-07,400.0,19280.4022458646
4.032258064516129e-07,403.2258064516129,18802.133417313933
4.064516129032258e-07,406.4516129032258,18345.546942572877
4.096774193548387e-07,409.67741935483866,17923.538443633475
4.129032258064516e-07,412.9032258064516,17469.350944371112
4.161290322580645e-07,416.1290322580645,17046.512963895668
4.193548387096774e-07,419.3548387096774,16652.382854955453
4.225806451612903e-07,422.5806451612903,16232.159525109271
4.258064516129032e-07,425.80645161290323,15840.541007845903
4.2903225806451613e-07,429.0322580645161,15472.364264033798
4.32258064516129e-07,432.25806451612897,15091.803306730344
4.354838709677419e-07,435.4838709677419,14704.38926714661
4.387096774193548e-07,438.7096774193548,14376.85015138929
4.4193548387096774e-07,441.93548387096774,14023.838087610675
4.451612903225806e-07,445.1612903225806,13665.747335668708
4.483870967741935e-07,448.38709677419354,13338.560485755652
4.5161290322580644e-07,451.61290322580646,13017.07436913015
4.5483870967741935e-07,454.83870967741933,12702.603193480121
4.580645161290322e-07,458.0645161290322,12395.565482818187
4.6129032258064514e-07,461.2903225806451,12097.222204783382
4.6451612903225805e-07,464.51612903225805,11799.39440812468
4.6774193548387097e-07,467.741935483871,11519.881652184416
4.7096774193548383e-07,470.96774193548384,11242.994018929005
4.7419354838709675e-07,474.19354838709677,10966.450118718052
4.774193548387097e-07,477.4193548387097,10695.439820413501
4.806451612903226e-07,480.64516129032256,10449.645365643813
4.838709677419354e-07,483.8709677419354,10192.980467575735
4.870967741935484e-07,487.0967741935484,9941.829120645467
4.903225806451612e-07,490.3225806451612,9698.285435776052
4.935483870967742e-07,493.54838709677426,9459.683791026739
4.967741935483871e-07,496.7741935483871,9230.928061239812
5e-07,500.0,9014.0905742152
